class,title,content,answer,text
10,I receive a lot of misdirected USPS mail at my address for others. Can I dispose of it?,,no put it back in mail box an flag it  on letter but wrong address let the post office worie aboutr it,i receive a lot of misdirected usps mail at my address for others can i dispose of it no put it back in mail box an flag it on letter but wrong address let the post office worie aboutr it
5,where can I recycle computers or electronic components?,,Some charities will take them off your hands so they can refurbish them and give to needy people.  I have also donated components to the Salvation Army.,where can i recycle computers or electronic components some charities will take them off your hands so they can refurbish them and give to needy people i have also donated components to the salvation army
5,Where do I recycle batteries for free..?,,"My Staples store has recycle bags for batteries. You just bring in your batteries, put them in the bag provided and drop them in the drop off box. This is what I do.",where do i recycle batteries for free my staples store has recycle bags for batteries you just bring in your batteries put them in the bag provided and drop them in the drop off box this is what i do
2,how to properly dispose of chickens with the avian flu virus?,,"i know they are burning it. but better yet, call the authorities so that they can quarantine and disinfect the whole area.",how to properly dispose of chickens with the avian flu virus i know they are burning it but better yet call the authorities so that they can quarantine and disinfect the whole area
5,"Can I throw a cd-rom in my trash, or do I recycle it?",,I'm not sure.  I think they're a type of plastic so you probably could recycle it...  But I'm sure they're not that harmful to the environment so you could just throw it away.,can i throw a cd rom in my trash or do i recycle it i m not sure i think they re a type of plastic so you probably could recycle it but i m sure they re not that harmful to the environment so you could just throw it away
2,how we can save the enviroment?,,One step at a time. Recycle. Compost.  Talk to your friends about it.  Small steps lead to bigger steps.,how we can save the enviroment one step at a time recycle compost talk to your friends about it small steps lead to bigger steps
4,items that could potentially damage our enviroment?,efforts made to reuse recycling packaging.4 new approaches to enviromental protection & cleanup.,"are you reporting this? is this a question? or an answer?  what are you saying, you need to be more clear!",items that could potentially damage our enviroment efforts made to reuse recycling packaging new approaches to enviromental protection cleanup are you reporting this is this a question or an answer what are you saying you need to be more clear
7,where can i go to recycle steel and get money for it?,,I agree with scrap yards.,where can i go to recycle steel and get money for it i agree with scrap yards
7,What is the best and practical way to dispose of plastic waste and why? Can you suggest any book on this topic,,recycle centers,what is the best and practical way to dispose of plastic waste and why can you suggest any book on this topic recycle centers
2,what are reclcying?,,"If you are trying to ask ""what's recycling"".. it's using things like.. paper, glass, aliuminum, etc over again. You take it to a Recycling Center and they process it and reuse it.",what are reclcying if you are trying to ask what s recycling it s using things like paper glass aliuminum etc over again you take it to a recycling center and they process it and reuse it
